symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,11/20/2023,10/31/2023,1.35,USD
AA,Alcoa Corp,10/17/2023,9/30/2023,-0.79,USD
AACAY,AACAY,11/9/2023,9/30/2023,0.0314,CNY
AACG,ATA Creativity Global,11/28/2023,9/30/2023,,CNY
AACTF,AACTF,11/29/2023,9/30/2023,,CAD
AADI,Aadi Bioscience Inc,11/7/2023,9/30/2023,-0.72,USD
AAGIY,AAGIY,11/29/2023,9/30/2023,0,USD
AAGRY,AAGRY,10/30/2023,9/30/2023,0,IDR
AAIC,Arlington Asset Investment Corp - Class A,11/13/2023,9/30/2023,0.07,USD
AAIGF,AAIGF,11/29/2023,9/30/2023,0,USD
AAIRD,AAIRD,12/4/2023,9/30/2023,,CAD
AAIRF,AAIRF,12/4/2023,9/30/2023,,CAD
AAL,American Airlines Group Inc,10/18/2023,9/30/2023,0.43,USD
AAM-PA,AAM-PA,11/6/2023,9/30/2023,,USD
AAMC,Altisource Asset Management Corp,10/31/2023,9/30/2023,,USD
AAME,Atlantic American Corp,11/6/2023,9/30/2023,,USD
AAN,Aarons Company Inc (The),10/23/2023,9/30/2023,0.07,USD
AAOI,Applied Optoelectronics Inc,11/1/2023,9/30/2023,-0.05,USD
AAON,AAON Inc,11/6/2023,9/30/2023,0.55,USD
AAP,Advance Auto Parts Inc,11/13/2023,9/30/2023,1.46,USD
AAPL,Apple Inc,10/25/2023,9/30/2023,1.39,USD
AAT,American Assets Trust Inc,10/23/2023,9/30/2023,0.16,USD
AATC,AATC,11/14/2023,9/30/2023,0,USD
AATGF,AATGF,11/29/2023,9/30/2023,,CAD
AAU,Almaden Minerals Ltd,11/6/2023,9/30/2023,-0.0135,USD
AAVVF,AAVVF,10/26/2023,9/30/2023,0.11,CAD
AAWH,AAWH,11/10/2023,9/30/2023,-0.09,USD
AAWW,AAWW,11/1/2023,9/30/2023,,USD
AB,AllianceBernstein Holding Lp,10/26/2023,9/30/2023,0.65,USD
ABBNY,ABBNY,10/18/2023,9/30/2023,0.5135,USD
ABBRF,ABBRF,11/29/2023,9/30/2023,0,CAD
ABBV,Abbvie Inc,10/26/2023,9/30/2023,2.87,USD
ABC,ABC,11/1/2023,9/30/2023,2.79,USD
ABCAF,ABCAF,11/21/2023,9/30/2023,,CAD
ABCB,Ameris Bancorp,10/25/2023,9/30/2023,1.14,USD
ABCL,AbCellera Biologics Inc,11/6/2023,9/30/2023,-0.13,USD
ABCP,ABCP,11/1/2023,9/30/2023,,USD
ABEO,Abeona Therapeutics Inc,11/13/2023,9/30/2023,-0.52,USD
ABEV,Ambev S.A.,10/31/2023,9/30/2023,0.0434,BRL
ABG,Asbury Automotive Group Inc,10/25/2023,9/30/2023,8.46,USD
ABILF,ABILF,11/14/2023,9/30/2023,0,USD
ABIO,ARCA biopharma Inc,10/26/2023,9/30/2023,,USD
ABL,Abacus Life Inc - Class A,11/21/2023,9/30/2023,,USD
ABLZF,ABLZF,10/18/2023,9/30/2023,0.5135,USD
ABM,ABM Industries Inc,12/11/2023,10/31/2023,0.92,USD
ABMC,ABMC,11/16/2023,9/30/2023,0,USD
ABMD,ABMD,10/30/2023,9/30/2023,,USD
ABML,ABML,11/13/2023,9/30/2023,-0.01,USD
ABMLD,ABMLD,11/13/2023,9/30/2023,-0.01,USD
ABNB,Airbnb Inc - Class A,10/30/2023,9/30/2023,1.94,USD
ABOS,Acumen Pharmaceuticals Inc,11/13/2023,9/30/2023,-0.3494,USD
ABR,Arbor Realty Trust Inc,11/2/2023,9/30/2023,0.46,USD
ABSI,Absci Corp,11/8/2023,9/30/2023,-0.228,USD
ABSSF,ABSSF,11/6/2023,9/30/2023,,USD
ABST,ABST,11/6/2023,9/30/2023,-0.105,USD
ABT,Abbott Laboratories,10/17/2023,9/30/2023,1.09,USD
ABTI,ABTI,11/17/2023,9/30/2023,,USD
ABUS,Arbutus Biopharma Corp,11/7/2023,9/30/2023,-0.11,USD
ABVC,ABVC BioPharma Inc,11/13/2023,9/30/2023,-0.04,USD
AC,Associated Capital Group Inc - Class A,11/9/2023,9/30/2023,,USD
ACA,Arcosa Inc,10/31/2023,9/30/2023,0.67,USD
ACAD,Acadia Pharmaceuticals Inc,10/31/2023,9/30/2023,-0.44,USD
ACAI,ACAI,10/11/2023,8/31/2023,0,USD
ACAN,ACAN,11/18/2023,9/30/2023,,USD
ACAZF,ACAZF,10/24/2023,9/30/2023,,CAD
ACB,Aurora Cannabis Inc,11/8/2023,9/30/2023,-0.0443,CAD
ACBM,ACBM,11/22/2023,9/30/2023,,USD
ACCD,Accolade Inc,10/4/2023,8/31/2023,-0.54,USD
ACCFF,ACCFF,10/31/2023,9/30/2023,,CAD
ACCO,Acco Brands Corporation,11/6/2023,9/30/2023,0.23,USD
ACCYY,ACCYY,10/26/2023,9/30/2023,0,EUR
ACDC,ProFrac Holding Corp Class A,11/11/2023,9/30/2023,0.1,USD
ACDVF,ACDVF,10/26/2023,9/30/2023,1.55,CAD
ACEL,Accel Entertainment Inc - Class A1,11/6/2023,9/30/2023,0.17,USD
ACER,Acer Therapeutics Inc,11/13/2023,9/30/2023,-0.12,USD
ACET,Adicet Bio Inc,11/6/2023,9/30/2023,-0.74,USD
ACFN,ACFN,11/8/2023,9/30/2023,,USD
ACFND,ACFND,11/8/2023,9/30/2023,,USD
ACGL,Arch Capital Group Ltd,10/24/2023,9/30/2023,1.29,USD
ACGN,Aceragen Inc,11/13/2023,9/30/2023,,USD
ACHC,Acadia Healthcare Company Inc,10/30/2023,9/30/2023,0.89,USD
ACHL,Achilles Therapeutics Plc,11/6/2023,9/30/2023,-0.4,USD
ACHR,Archer Aviation Inc - Class A,11/8/2023,9/30/2023,-0.3,USD
ACHV,Achieve Life Sciences Inc,11/13/2023,9/30/2023,-0.38,USD
ACI,Albertsons Companies Inc - Class A,10/16/2023,8/31/2023,0.56,USD
ACIC,American Coastal Insurance Corp,11/7/2023,9/30/2023,-0.15,USD
ACIU,AC Immune SA,10/26/2023,9/30/2023,0.03,CHF
ACIW,ACI Worldwide Inc,10/31/2023,9/30/2023,0.12,USD
ACKAY,ACKAY,10/27/2023,9/30/2023,0.5903,TRY
ACLLF,ACLLF,10/25/2023,9/30/2023,,CAD
ACLS,Axcelis Technologies Inc,10/31/2023,9/30/2023,1.73,USD
ACLX,Arcellx Inc,11/13/2023,9/30/2023,-0.545,USD
ACM,AECOM,11/13/2023,9/30/2023,0.98,USD
ACMR,ACM Research Inc - Class A,11/2/2023,9/30/2023,0.35,USD
ACMTA,ACMTA,11/1/2023,9/30/2023,,USD
ACN,Accenture plc - Class A,9/28/2023,8/31/2023,2.64,USD
ACN,Accenture plc - Class A,12/14/2023,11/30/2023,3.17,USD
ACNB,ACNB Corp,10/25/2023,9/30/2023,0.99,USD
ACNT,Ascent Industries Company,11/6/2023,9/30/2023,-0.12,USD
ACON,Aclarion Inc,11/29/2023,9/30/2023,-0.09,USD
ACOR,Acorda Therapeutics Inc,10/30/2023,9/30/2023,,USD
ACR,ACRES Commercial Realty Corp,11/1/2023,9/30/2023,0.46,USD
ACRE,Ares Commercial Real Estate Corp,10/31/2023,9/30/2023,0.21,USD
ACRG,ACRG,11/8/2023,9/30/2023,,USD
ACRHF,ACRHF,11/6/2023,9/30/2023,,USD
ACRS,Aclaris Therapeutics Inc,11/6/2023,9/30/2023,-0.48,USD
ACRV,Acrivon Therapeutics Inc,11/29/2023,9/30/2023,-0.71,USD
ACRX,Acelrx Pharmaceuticals Inc,11/13/2023,9/30/2023,-0.29,USD
ACSAY,ACSAY,11/9/2023,9/30/2023,0.1213,EUR
ACST,Acasti Pharma Inc - Class A,11/13/2023,9/30/2023,-0.11,USD
ACT,Enact Holdings Inc,10/30/2023,9/30/2023,0.86,USD
ACTG,Acacia Research Corp,11/1/2023,9/30/2023,0.12,USD
ACTX,ACTX,11/15/2023,9/30/2023,,USD
ACU,Acme United Corp,10/19/2023,9/30/2023,0.7,USD
ACUR,ACUR,11/13/2023,9/30/2023,0,USD
ACUS,ACUS,11/6/2023,9/30/2023,0,USD
ACVA,ACV Auctions Inc - Class A,11/7/2023,9/30/2023,-0.15,USD
ACWRF,ACWRF,11/21/2023,9/30/2023,,CAD
ACXP,Acurx Pharmaceuticals Inc,11/13/2023,9/30/2023,-0.27,USD
ADAG,Adagene Inc,11/29/2023,9/30/2023,-0.38,USD
ADAP,Adaptimmune Therapeutics Plc,11/2/2023,9/30/2023,-0.174,USD
ADBE,Adobe Inc,12/13/2023,11/30/2023,4.14,USD
ADBRF,ADBRF,10/26/2023,9/30/2023,,USD
ADC,Agree Realty Corp,10/30/2023,9/30/2023,0.42,USD
ADCOF,ADCOF,11/13/2023,9/30/2023,,USD
ADCT,Adc Therapeutics SA,11/6/2023,9/30/2023,-0.63,USD
ADDYY,ADDYY,11/8/2023,9/30/2023,0.1467,EUR
ADEA,Adeia Inc,11/7/2023,9/30/2023,0.29,USD
ADER,26 Capital Acquisition Corp - Class A,11/12/2023,9/30/2023,,USD
ADERY,ADERY,11/14/2023,9/30/2023,0,JPY
ADES,Advanced Emissions Solutions Inc,11/6/2023,9/30/2023,-0.11,USD
ADFJF,ADFJF,12/5/2023,10/31/2023,,CAD
ADFS,ADFS,11/21/2023,9/30/2023,0,USD
ADI,Analog Devices Inc,11/20/2023,10/31/2023,2.01,USD
ADIL,Adial Pharmaceuticals Inc,11/13/2023,9/30/2023,-1.13,USD
ADM,Archer Daniels Midland Company,10/23/2023,9/30/2023,1.55,USD
ADMA,Adma Biologics Inc,11/7/2023,9/30/2023,-0.01,USD
ADMLF,ADMLF,11/29/2023,9/30/2023,0,USD
ADMP,ADMP,11/13/2023,9/30/2023,,USD
ADMT,ADMT,11/20/2023,9/30/2023,,USD
ADN,Advent Technologies Holdings Inc - Class A,11/13/2023,9/30/2023,-0.15,USD
ADNT,Adient plc,11/1/2023,9/30/2023,0.51,USD
ADOCY,ADOCY,10/25/2023,9/30/2023,3.46,EUR
ADOOY,ADOOY,11/1/2023,9/30/2023,0.4918,USD
ADP,Automatic Data Processing Inc,10/24/2023,9/30/2023,2.03,USD
ADPT,Adaptive Biotechnologies Corp,11/1/2023,9/30/2023,-0.33,USD
ADRNY,ADRNY,11/8/2023,9/30/2023,0.7108,EUR
ADRZY,ADRZY,11/2/2023,9/30/2023,0.2671,EUR
ADSK,Autodesk Inc,11/20/2023,10/31/2023,1.99,USD
ADT,ADT Inc,11/1/2023,9/30/2023,0.05,USD
ADTH,AdTheorent Holding Company Inc,11/8/2023,9/30/2023,-0.002,USD
ADTN,ADTRAN Holdings Inc,11/7/2023,9/30/2023,-0.05,USD
ADTX,Aditxt Inc,11/29/2023,9/30/2023,-4,USD
ADUS,Addus HomeCare Corporation,10/30/2023,9/30/2023,1.08,USD
ADV,Advantage Solutions Inc - Class A,11/7/2023,9/30/2023,0.13,USD
ADVM,Adverum Biotechnologies Inc,11/8/2023,9/30/2023,-0.32,USD
ADVZF,ADVZF,11/22/2023,9/30/2023,,USD
ADWPF,ADWPF,11/7/2023,9/30/2023,,CAD
ADXN,Addex Therapeutics Ltd,11/13/2023,9/30/2023,-0.0309,CHF
ADXS,ADXS,12/21/2023,10/31/2023,-1.28,USD
ADYEY,ADYEY,11/29/2023,9/30/2023,0,EUR
ADYX,ADYX,11/16/2023,9/30/2023,0,USD
AE,Adams Resources & Energy Inc,11/8/2023,9/30/2023,0.15,USD
AEBZY,AEBZY,11/7/2023,9/30/2023,0.0373,TRY
AEE,Ameren Corp,11/1/2023,9/30/2023,1.83,USD
AEG,Aegon N. V.,11/16/2023,9/30/2023,-0.477,USD
AEGXF,AEGXF,10/25/2023,9/30/2023,,CAD
AEHR,Aehr Test Systems,10/4/2023,8/31/2023,0.16,USD
AEIS,Advanced Energy Industries Inc,10/30/2023,9/30/2023,1.14,USD
AEL,American Equity Investment Life Holding Company,11/6/2023,9/30/2023,1.7,USD
AEM,Agnico Eagle Mines Ltd,10/25/2023,9/30/2023,0.48,USD
AEMD,Aethlon Medical Inc,11/13/2023,9/30/2023,-0.14,USD
AEMMY,AEMMY,11/14/2023,9/30/2023,0,EUR
AEP,American Electric Power Company Inc,10/25/2023,9/30/2023,1.78,USD
AER,Aercap Holdings N.V.,11/1/2023,9/30/2023,2.35,USD
AERG,AERG,11/14/2023,9/30/2023,0,USD
AES,AES Corp,11/2/2023,9/30/2023,0.42,USD
AESI,Atlas Energy Solutions Inc - Class A,11/29/2023,9/30/2023,0.66,USD
AETUF,AETUF,11/1/2023,9/30/2023,0.4063,CAD
AEVA,Aeva Technologies Inc,11/6/2023,9/30/2023,-0.15,USD
AEXAY,AEXAY,10/26/2023,9/30/2023,0,EUR
AEY,Addvantage Technologies Group,11/13/2023,9/30/2023,,USD
AEYE,AudioEye Inc,11/8/2023,9/30/2023,-0.15,USD
AEZS,Aeterna Zentaris Inc,11/1/2023,9/30/2023,-0.61,USD
AFBI,Affinity Bancshares Inc,10/24/2023,9/30/2023,,USD
