symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2025-05-28,2025-04-30,,USD
AA,Alcoa Corp,2025-05-09,2025-03-31,1.407,USD
AAALY,AAALY,2025-05-13,2025-03-31,,EUR
AABVF,AABVF,2025-06-10,2025-04-30,,CAD
AACAF,AACAF,2025-05-23,2025-03-31,,CNY
AACAY,AACAY,2025-05-23,2025-03-31,,CNY
AACG,ATA Creativity Global,2025-05-12,2025-03-31,,CNY
AACT,Ares Acquisition Corporation II - Class A,2025-05-08,2025-03-31,,USD
AADI,AADI,2025-05-06,2025-03-31,-0.64,USD
AAFRF,AAFRF,2025-07-24,2025-06-30,,USD
AAGIY,AAGIY,2025-05-22,2025-03-31,,USD
AAGRY,AAGRY,2025-07-28,2025-06-30,,USD
AAHIF,AAHIF,2025-06-23,2025-05-31,,USD
AAIRF,AAIRF,2025-05-26,2025-03-31,,CAD
AAL,American Airlines Group Inc,2025-07-17,2025-06-30,,USD
AAMC,AAMC,2025-05-13,2025-03-31,,USD
AAMCF,AAMCF,2025-05-13,2025-03-31,,USD
AAME,Atlantic American Corp,2025-05-12,2025-03-31,,USD
AAN,AAN,2025-05-15,2025-03-31,,USD
AANNF,AANNF,2025-05-28,2025-03-31,,USD
AAOI,Applied Optoelectronics Inc,2025-05-07,2025-03-31,-0.29,USD
AAP,Advance Auto Parts Inc,2025-05-27,2025-03-31,,USD
AAPL,Apple Inc,2025-07-30,2025-06-30,,USD
AARTY,AARTY,2025-07-24,2025-06-30,,USD
AASP,AASP,2025-05-12,2025-03-31,,USD
AAT,American Assets Trust Inc,2025-07-28,2025-06-30,,USD
AAUAF,AAUAF,2025-05-12,2025-03-31,,CAD
AAUKF,AAUKF,2025-07-31,2025-06-30,,USD
AAVMY,AAVMY,2025-05-13,2025-03-31,,EUR
AAVVF,AAVVF,2025-07-23,2025-06-30,,CAD
AAVXF,AAVXF,2025-05-30,2025-03-31,,EUR
AB,AllianceBernstein Holding Lp,2025-07-24,2025-06-30,,USD
ABANF,ABANF,2025-06-17,2025-03-31,,USD
ABAT,Advanced Battery Technologies Inc,2025-05-13,2025-03-31,,USD
ABBNY,ABBNY,2025-07-17,2025-06-30,,USD
ABBRD,ABBRD,2025-05-27,2025-03-31,,USD
ABBRF,ABBRF,2025-05-27,2025-03-31,,USD
ABBV,Abbvie Inc,2025-07-23,2025-06-30,,USD
ABCB,Ameris Bancorp,2025-07-23,2025-06-30,,USD
ABCL,AbCellera Biologics Inc,2025-05-05,2025-03-31,-0.17,USD
ABCP,ABCP,2025-05-07,2025-03-31,,USD
ABDBY,ABDBY,2025-07-16,2025-06-30,,USD
ABEO,Abeona Therapeutics Inc,2025-05-13,2025-03-31,,USD
ABEV,Ambev S.A.,2025-05-06,2025-03-31,,BRL
ABGSF,ABGSF,2025-07-03,2025-06-30,,NOK
ABL,Abacus Life Inc - Class A,2025-05-12,2025-03-31,,USD
ABLLL,Abacus Life Inc,2025-05-12,2025-03-31,,USD
ABLZF,ABLZF,2025-07-17,2025-06-30,,USD
